Ñòîëáåö1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52
Comoros;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;
Congo;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;
Cook Islands;Yes [Cook Islands Crimes Act 169 Articles 160-163 (https://sherloc.unodc.org/cld/uploads/res//uncac/LegalResources/Cook%20Islands/Laws/Cook%20Islands%20Crimes%20Act%201969.pdf)];;;;;Yes [Cook Islands Crimes Act 169 Articles 160-163 (https://sherloc.unodc.org/cld/uploads/res//uncac/LegalResources/Cook%20Islands/Laws/Cook%20Islands%20Crimes%20Act%201969.pdf)];;;;;;;;;;;;;;;;;;;;;;;;;Yes [Cook Islands Crimes Act 169 Articles 160-163 (https://sherloc.unodc.org/cld/uploads/res//uncac/LegalResources/Cook%20Islands/Laws/Cook%20Islands%20Crimes%20Act%201969.pdf)];;;;;;;;;;;;;;;;;;;;
Costa Rica;No [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;
Croatia;Yes [Criminal Code 2011 Article 157 https://www.legislationline.org/download/id/7896/file/Croatia_Criminal_Code_2011_en.pdf];;;;;Yes [Criminal Code 2011 Article 157 https://www.legislationline.org/download/id/7896/file/Croatia_Criminal_Code_2011_en.pdf];;;;;;;;;;;;;;;;;;;;;;;;;Yes [Criminal Code 2011 Article 157 https://www.legislationline.org/download/id/7896/file/Croatia_Criminal_Code_2011_en.pdf];;;;;;;;;;;;;;;;;;;;
Cuba;Yes [Cuba. Penal Code Article 302 (https://www.wipo.int/edocs/lexdocs/laws/es/cu/cu004es.pdf)];;;Yes [Cuba. Penal Code Article 302 (https://www.wipo.int/edocs/lexdocs/laws/es/cu/cu004es.pdf)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cyprus;Yes [Cyprus Criminal Code Chapter 154 of the Laws, Articles 164-165 (http://www.cylaw.org/nomoi/arith/CAP154.pdf)];;;;;Yes [Cyprus Criminal Code Chapter 154 of the Laws, Articles 164-165 (http://www.cylaw.org/nomoi/arith/CAP154.pdf)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Czechia;Yes [Criminal Code of the Czech Republic (https://antislaverylaw.ac.uk/wp-content/uploads/2019/08/Czech-Republic-Criminal-Code.pdf)];;;;;Yes [Criminal Code of the Czech Republic (https://antislaverylaw.ac.uk/wp-content/uploads/2019/08/Czech-Republic-Criminal-Code.pdf)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C?te d'Ivoire;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [C?te d'Ivoire. Penal Code (https://www.refworld.org/docid/3ae6b5860.html%22%3Ehttp://www.refworld.org/docid/3ae6b5860.html%3C/a%3E%3C/p>)];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];
Democratic People's Republic of Korea;"Yes [Democratic People’s Republic of Korea. Criminal Law, Articles 18 and 261 (https://www.hrnk.org/uploads/pdfs/The%20Criminal%20Law%20of%20
the%20Democratic%20Republic%20of%20Korea_2009_%20(1).pdf).]";;;;;"Yes [Democratic People’s Republic of Korea. Criminal Law, Articles 18 and 261 (https://www.hrnk.org/uploads/pdfs/The%20Criminal%20Law%20of%20
the%20Democratic%20Republic%20of%20Korea_2009_%20(1).pdf).]";;;;;;;;;Yes [Dangerous Drugs Act (38 of 1991) Chapter 11:25. Sec. 5 (http://rgd.legalaffairs.gov.tt/laws2/alphabetical_list/lawspdfs/11.25.pdf / http://news.gov.tt/sites/default/files/E-Gazette/Gazette%202019/Acts/Act%20No.%2024%20of%202019.pdf];"Yes [Democratic People’s Republic of Korea. Criminal Law, Articles 18 and 261 (https://www.hrnk.org/uploads/pdfs/The%20Criminal%20Law%20of%20
the%20Democratic%20Republic%20of%20Korea_2009_%20(1).pdf).]";;;;;"Yes [Democratic People’s Republic of Korea. Criminal Law, Articles 18 and 261 (https://www.hrnk.org/uploads/pdfs/The%20Criminal%20Law%20of%20
the%20Democratic%20Republic%20of%20Korea_2009_%20(1).pdf).]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Democratic Republic of the Congo;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;;;;;;;;"Yes [Sexual Rights Initiative database [database]. Sexual Rights Initiative; c2016 (http://sexualrightsdatabase.org/map/21/Adult%20sex%20work).]";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Denmark;Yes [Articles 228 and 233 of the Criminal Code https://www.legislationline.org/download/id/6372/file/Denmark_Criminal_Code_am2005_en.pdf];;;;;Yes [Articles 228 and 233 of the Criminal Code https://www.legislationline.org/download/id/6372/file/Denmark_Criminal_Code_am2005_en.pdf];;;;;;;;;;;;;;;;;;;;;;;;;Yes [Articles 228 and 233 of the Criminal Code https://www.legislationline.org/download/id/6372/file/Denmark_Criminal_Code_am2005_en.pdf];;;;;;;;;;;;;;;;;;;;
Djibouti;Yes [Djibouti. Penal Code of Djibouti. 1995 (https://www.ilo.org/dyn/natlex/docs/MONOGRAPH/111743/139414/F1148501931/DJI-111743.pdf)];;;;Yes [Djibouti. Penal Code of Djibouti. 1995 (https://www.ilo.org/dyn/natlex/docs/MONOGRAPH/111743/139414/F1148501931/DJI-111743.pdf)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominica;Yes [Dominica. Sexual Offences Act (https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/49696/87821/F1766139650/DMA49696.pdf).];;;;;Yes [Dominica. Sexual Offences Act (https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/49696/87821/F1766139650/DMA49696.pdf).];;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;;;;;;;Yes [Dominica. Sexual Offences Act (https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/49696/87821/F1766139650/DMA49696.pdf).];;;;;;;;;;;;;;;;;;;;
Dominican Republic;"Yes [Dominican Republic. Penal Code, Article 334 (https://www.oas.org/dil/esp/C%C3%B3digo%20Penal%20de%20la%20Rep%C3%BAblica20Dominicana.pdf); National Commitments and Policy Instrument, 2022.]";;;;;"Yes [Dominican Republic. Penal Code, Article 334 (https://www.oas.org/dil/esp/C%C3%B3digo%20Penal%20de%20la%20Rep%C3%BAblica20Dominicana.pdf); National Commitments and Policy Instrument, 2022.]";;;;;;;;;;"Yes [Dominican Republic. Penal Code, Article 334 (https://www.oas.org/dil/esp/C%C3%B3digo%20Penal%20de%20la%20Rep%C3%BAblica20Dominicana.pdf); National Commitments and Policy Instrument, 2022.]";;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];"Yes [Dominican Republic. Penal Code, Article 334 (https://www.oas.org/dil/esp/C%C3%B3digo%20Penal%20de%20la%20Rep%C3%BAblica20Dominicana.pdf); National Commitments and Policy Instrument, 2022.]";;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];"Yes [Dominican Republic. Penal Code, Article 334 (https://www.oas.org/dil/esp/C%C3%B3digo%20Penal%20de%20la%20Rep%C3%BAblica20Dominicana.pdf); National Commitments and Policy Instrument, 2022.]";;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;
Ecuador;No [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Yes [Codigo organico integral penal, 2014. Quito: Ministerio de Justicia, Derechos Humanos y Cultos; 2014 (https://www.justicia.gob.ec/wpcontent/uploads/2014/05/c%C3%B3digo_org%C3%A1nico_integral_penal_-_coip_ed._sdn-mjdhc.pdf).]";Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;
Egypt;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;
El Salvador;Yes [El Salvador. Penal Code Articles 170 and 170A and National Commitments and Policy Instrument 2019];;;Yes [El Salvador. Penal Code Articles 170 and 170A];;Yes [El Salvador. Penal Code Articles 170 and 170A and National Commitments and Policy Instrument 2019];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [El Salvador. Penal Code Articles 170 and 170A and National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];
Equatorial Guinea;Yes [Equatorial Guinea. Penal Code. Article 452(bis) (https://acjr.org.za/resource-centre/penal-code-ofequatorial-guinea-1963/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
view).];;;;Yes [Equatorial Guinea. Penal Code. Article 452(bis) (http://cesge.org/index.php/leyes/category/3-penales-derechos-y-libertades).];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;
Eritrea;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [Eritrea. Penal Code. Article 314 (https://www.refworld.org/pdfid/55a51ccc4.pdf).];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estonia;Yes [https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;Yes [https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eswatini;"Yes [Eswatini. Sexual offences and domestic violence act 2018 (articles 13-18); Eswatini. Crimes Act 61 of 1889 Article 49 (http://www.osall.org.za/docs/2011/03/Swaziland-Crimes-Act-61-of-1889.pdf); National Commitments and Policy Instrument 2022]";;;Yes [Eswatini. Sexual offences and domestic violence act 2018 (articles 13-18)];;"Yes [Eswatini. Sexual offences and domestic violence act 2018 (articles 13-18); Eswatini. Crimes Act 61 of 1889 Article 49 (http://www.osall.org.za/docs/2011/03/Swaziland-Crimes-Act-61-of-1889.pdf); National Commitments and Policy Instrument 2022]";;;;;;;;;;;;;;;;;;;;;;;Yes [Eswatini. Crimes Act 61 of 1889 Article 49 (http://www.osall.org.za/docs/2011/03/Swaziland-Crimes-Act-61-of-1889.pdf)];;"Yes [Eswatini. Sexual offences and domestic violence act 2018 (articles 13-18); Eswatini. Crimes Act 61 of 1889 Article 49 (http://www.osall.org.za/docs/2011/03/Swaziland-Crimes-Act-61-of-1889.pdf); National Commitments and Policy Instrument 2022]";;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];;"Yes [Eswatini. Sexual offences and domestic violence act 2018 (articles 13-18); Eswatini. Crimes Act 61 of 1889 Article 49 (http://www.osall.org.za/docs/2011/03/Swaziland-Crimes-Act-61-of-1889.pdf); National Commitments and Policy Instrument 2022]";;;;;;;;;;
Ethiopia;Yes [Ethiopia. Penal Code (https://www.refworld.org/docid/49216b572.html%22%3Ehttp://www.refworld.org/docid/49216b572.html%3C/a>).];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [Ethiopia. Penal Code (https://www.refworld.org/docid/49216b572.html%22%3Ehttp://www.refworld.org/docid/49216b572.html%3C/a>).];;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [Ethiopia. Penal Code (https://www.refworld.org/docid/49216b572.html%22%3Ehttp://www.refworld.org/docid/49216b572.html%3C/a>).];;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;
Fiji;"Yes [Fiji. Crimes Decree, 2009, Article 230 (https://ihl-databases.icrc.org/applic/ihl/ihl-nat.nsf/0/152337C8E9F5B6D4C12576BA004EF21F#:~:text=The%20
Decree%20provides%20for%20imprisonment,years)%20for%20the%20other%20crimes).]";;;;;"Yes [Fiji. Crimes Decree, 2009, Article 230 (https://ihl-databases.icrc.org/applic/ihl/ihl-nat.nsf/0/152337C8E9F5B6D4C12576BA004EF21F#:~:text=The%20
Decree%20provides%20for%20imprisonment,years)%20for%20the%20other%20crimes).]";Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;;;;;;;;;;;;;;;;"Yes [Fiji. Crimes Decree, 2009, Article 230 (https://ihl-databases.icrc.org/applic/ihl/ihl-nat.nsf/0/152337C8E9F5B6D4C12576BA004EF21F#:~:text=The%20
Decree%20provides%20for%20imprisonment,years)%20for%20the%20other%20crimes).]";;;;;;;;;;;;;;;;;;;;
Finland;Yes [https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;Yes [3048-EU-prostitution-laws.pdf (lastradainternational.org)];;;;;;;;;;;;;;;;;;;;;;;;;Yes [3048-EU-prostitution-laws.pdf (lastradainternational.org)];;;;;;;;;;;;;;;;;;;;
France;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;;;;;;;;;;;;;;;;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;;;;;;;;;;;
Gabon;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;Yes [Gabon. Penal Code, 2018. Article 402-1 (http://www.droit-afrique.com/uploads/Gabon-Code-2019- penal.pdf];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;
Gambia;Yes [Criminal Code of The Gambia, Articles 129, 135, 136, 138 (https://www.ilo.org/dyn/natlex/docs/SERIAL/75289/107490/F973061365/GMB75289%20pp%201284_1316.pdf)];;;;;;;;;;;;;;;;;;;;;;"Yes [Sexual Rights Initiative database [database]. Sexual Rights Initiative; c2016 (http://sexualrightsdatabase.org/map/21/Adult%20sex%20work).]";;;;;;;Yes [Criminal Code of The Gambia, Articles 129, 135, 136, 138 (https://www.ilo.org/dyn/natlex/docs/SERIAL/75289/107490/F973061365/GMB75289%20pp%201284_1316.pdf)];;;;;;;;;;;;;;;;;;;;;
Georgia;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;
Germany;No [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;;;;;;
Ghana;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;
Greece;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;Yes [Report on prostitution laws in the European Union 2014 https://documentation.lastradainternational.org/lsidocs/3048-EU-prostitution-laws.pdf];;;;;;;;;;
Grenada;Yes [Grenada. Criminal Code, Chapter 72A (76 of 1958). Section 137 (30) (https://laws.gov.gd/index.php?option=com_edocman&view=category&id=686&Itemid=183).];;;;;;;;;;;;Yes [Grenada. Criminal Code, Chapter 72A (76 of 1958). Section 137 (30) (https://laws.gov.gd/index.php?option=com_edocman&view=category&id=686&Itemid=183).];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guatemala;Yes [Guatemala. Article 39 of Decreto 9-2009 (https://www.refworld.org/pdfid/4a03e3d22.pdf). ];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [Guatemala. Article 39 of Decreto 9-2009 (https://www.refworld.org/pdfid/4a03e3d22.pdf). ];;;;;;;;;;;;;Yes [Guatemala. Codigo Penal Decreto 9-2009, Articulo 39 (https://www.refworld.org/pdfid/4a03e3d22.pdf)];;Yes [Guatemala. Article 39 of Decreto 9-2009 (https://www.refworld.org/pdfid/4a03e3d22.pdf). ];;"Yes [Sexual Rights Initiative database [database]. Sexual Rights Initiative; c2016 (http://sexualrightsdatabase.org/map/21/Adult%20sex%20work).]";;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;;;;;;;;;;;;;
Guinea;Yes [Guinea. Penal Code articles 346 and 351 (https://www.refworld.org/docid/44a3eb9a4.html)];;;Yes [Guinea. Penal Code articles 346 and 351 (https://www.refworld.org/docid/44a3eb9a4.html)];;Yes [Guinea. Penal Code articles 346 and 351 (https://www.refworld.org/docid/44a3eb9a4.html)];;;;;;;;;;;;;;Yes [Code p?nal articles 346 et 351 (https://www.refworld.org/docid/44a3eb9a4.html)];;;;;;;;;;Yes [Code p?nal articles 346 et 351 (https://www.refworld.org/docid/44a3eb9a4.html)];;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;
Guinea-Bissau;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guyana;Yes [Guyana. Articles 165–168, Summary Jurisdiction (Offences) (http://www.oas.org/juridico/pdfs/mesicic4_guy_summ.pdf). ];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [Guyana. Articles 165–168, Summary Jurisdiction (Offences) (http://www.oas.org/juridico/pdfs/mesicic4_guy_summ.pdf). ];;;;;;;;;;;;"Yes [Sexual Rights Initiative database [database]. Sexual Rights Initiative; c2016 (http://sexualrightsdatabase.org/map/21/Adult%20sex%20work).]";;;Yes [Guyana. Articles 165–168, Summary Jurisdiction (Offences) (http://www.oas.org/juridico/pdfs/mesicic4_guy_summ.pdf). ];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];;Yes [Guyana. Articles 165–168, Summary Jurisdiction (Offences) (http://www.oas.org/juridico/pdfs/mesicic4_guy_summ.pdf). ];;;;;;;;;;;;;;;;;;;;
Haiti;No [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;
Honduras;No [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;
Hungary;Yes [Sections 200-202, 205 of the Criminal Code https://www.legislationline.org/download/id/5619/file/HUngary_Criminal_Code_of_2012_en.pdf];;;;;Yes [Sections 200-202, 205 of the Criminal Code https://www.legislationline.org/download/id/5619/file/HUngary_Criminal_Code_of_2012_en.pdf];;;;;;;;;;;;;;;;;;;;;;;;;Yes [Sections 200-202, 205 of the Criminal Code https://www.legislationline.org/download/id/5619/file/HUngary_Criminal_Code_of_2012_en.pdf];;;;;;;;;;;;;;;;;;;;
Iceland;Yes [Article 206 of the General Penal Code https://www.legislationline.org/download/id/6159/file/General%20Penal%20Code%20of%20Iceland%201940,%20amended%202015.pdf];;;;;Yes [Article 206 of the General Penal Code https://www.legislationline.org/download/id/6159/file/General%20Penal%20Code%20of%20Iceland%201940,%20amended%202015.pdf];;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2017];;;;Yes [Article 206 of the General Penal Code https://www.legislationline.org/download/id/6159/file/General%20Penal%20Code%20of%20Iceland%201940,%20amended%202015.pdf];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
India;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;
Indonesia;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];;;;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2021];
Iran (Islamic Republic of);Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;"Yes [Sexual Rights Initiative database [database]. Sexual Rights Initiative; c2016 (http://sexualrightsdatabase.org/map/21/Adult%20sex%20work).]";;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;Yes [UNAIDS National Commitments and Policy Instrument 2019];Yes [UNAIDS National Commitments and Policy Instrument 2021];Yes [UNAIDS National Commitments and Policy Instrument 2022];;;;;;;;;;;;;;;
Iraq;Yes [Iraq: Gender Justice and the Law https://arabstates.unfpa.org/sites/default/files/pub-pdf/Iraq%20Country%20Assessment%20-%20English_0.pdf];;;;;Yes [Iraq: Gender Justice and the Law https://arabstates.unfpa.org/sites/default/files/pub-pdf/Iraq%20Country%20Assessment%20-%20English_0.pdf];;Yes [Republic of Iraq. Combating Prostitution Law No. 8 of 1988. Article 2 (gjpi.org/2010/02/20/combating-prostitution-law-no-8-of-1988/).];;;;;;;;Yes [Iraq: Gender Justice and the Law https://arabstates.unfpa.org/sites/default/files/pub-pdf/Iraq%20Country%20Assessment%20-%20English_0.pdf];;;;;Yes [Iraq: Gender Justice and the Law https://arabstates.unfpa.org/sites/default/files/pub-pdf/Iraq%20Country%20Assessment%20-%20English_0.pdf];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
